,HD#,Star name,V,Sp. type,Field name,Simbad type,Ref to brite papers
0,HD 136298,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
1,HD 136504,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
2,HD 136664,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
3,HD 138690,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
4,HD 139365,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
5,HD 141556,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
6,HD 142669,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
7,HD 143018,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
8,HD 143118,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
9,HD 143275,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
10,HD 144217,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
11,HD 144294,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
12,HD 144470,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
13,HD 145482,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
14,HD 145502,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
15,HD 147165,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
16,HD 148478,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
17,HD 148688,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
18,HD 148703,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
19,HD 149038,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
20,HD 149404,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
21,HD 149438,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
22,HD 151680,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
23,HD 151804,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
24,HD 151890,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
25,HD 151985,* del Lup,3.19,B1.5IV,09-Sco-I-2015,PulsV*bCep,-
26,HD 205021,* kap Cas,4.16,B1Ia,11-CasCep-I-2015,BlueSG*,-
27,HD 207260,* kap Cas,4.16,B1Ia,11-CasCep-I-2015,BlueSG*,-
28,HD 209790,* kap Cas,4.16,B1Ia,11-CasCep-I-2015,BlueSG*,-
29,HD 209975,* kap Cas,4.16,B1Ia,11-CasCep-I-2015,BlueSG*,-
30,HD 210745,* kap Cas,4.16,B1Ia,11-CasCep-I-2015,BlueSG*,-
31,HD 211336,* kap Cas,4.16,B1Ia,11-CasCep-I-2015,BlueSG*,-
32,HD 213306,* kap Cas,4.16,B1Ia,11-CasCep-I-2015,BlueSG*,-
33,HD 216228,* kap Cas,4.16,B1Ia,11-CasCep-I-2015,BlueSG*,-
